max_tmp,min_tmp,range,hum,wind,label
22.6,18.5,4.100000000000001,92.5,8.3,7
26.8,18.7,8.100000000000001,71.3,8.7,7
29.0,22.3,6.699999999999999,66.3,6.1,8
29.6,21.6,8.0,69.3,3.3,8
25.5,22.9,2.6000000000000014,86.4,3.2,8
26.4,22.7,3.6999999999999993,84.8,3.1,8
24.9,22.6,2.299999999999997,95.8,3.4,8
28.4,23.4,5.0,85.5,3.8,8
29.6,22.8,6.800000000000001,81.9,4.6,8
26.9,24.3,2.599999999999998,90.9,4.9,8
26.4,23.5,2.8999999999999986,93.3,7.5,8
26.3,23.9,2.400000000000002,93.3,8.3,8
29.4,25.0,4.399999999999999,86.3,5.7,8
29.1,25.5,3.6000000000000014,92.1,4.6,8
26.0,22.9,3.1000000000000014,89.8,6.5,8
26.1,22.6,3.5,85.3,3.3,8
26.1,22.7,3.400000000000002,89.5,3.7,8
25.8,23.7,2.1000000000000014,92.4,6.8,8
29.5,24.7,4.800000000000001,91.6,4.3,8
27.3,22.4,4.900000000000002,92.5,4.7,8
31.3,23.5,7.800000000000001,83.9,4.3,8
30.3,26.3,4.0,82.4,4.9,8
28.0,26.5,1.5,83.1,5.7,8
27.0,25.0,2.0,93.0,5.6,8
30.8,25.3,5.5,79.6,5.2,8
32.2,26.1,6.100000000000001,77.9,4.1,8
31.9,24.0,7.899999999999999,76.3,3.6,8
31.4,23.6,7.799999999999997,76.8,4.4,8
31.7,25.0,6.699999999999999,76.0,4.2,8
29.2,25.2,4.0,83.1,3.5,8
27.6,21.7,5.900000000000002,84.4,5.5,8
29.9,21.5,8.399999999999999,78.4,3.9,8
32.0,23.7,8.3,71.6,4.9,8
34.5,26.0,8.5,69.5,4.6,8
34.5,27.0,7.5,65.3,6.5,8
28.6,25.6,3.0,81.6,7.0,8
29.7,26.0,3.6999999999999993,89.1,4.4,8
29.0,25.5,3.5,90.1,4.0,8
30.6,24.4,6.200000000000003,88.8,4.8,8
30.0,23.8,6.199999999999999,77.9,4.3,8
29.5,23.8,5.699999999999999,72.4,3.6,8
26.4,22.6,3.799999999999997,91.3,4.0,8
25.6,20.0,5.600000000000001,79.0,9.8,8
27.5,19.9,7.600000000000001,60.9,5.6,7
27.3,19.2,8.100000000000001,66.6,3.5,7
24.4,19.5,4.899999999999999,80.0,4.8,8
